sep=,
"Title","Season count","Episode count","Path"
"Les Nouvelles aventures de Batman","2","24","F:\Vidéos\Séries\Les Nouvelles aventures de Batman (1997)"
"Batman : La Série animée","4","85","F:\Vidéos\Séries\Batman La Série animée (1992)"
"Demon Slayer : Kimetsu no Yaiba","3","44","F:\Vidéos\Séries\Demon Slayer Kimetsu no Yaiba (2019)"
"A Knight of the Seven Kingdoms","1","3","F:\Vidéos\Séries\A Knight of the Seven Kingdoms (2026)"
"Malédiction !","2","20","F:\Vidéos\Séries\Malédiction ! (2023)"
"Command Z","1","8","G:\Séries\Command Z (2023)"
"Arcane","1","9","G:\Séries\Arcane (2021)"
"Patrick Melrose","1","5","F:\Vidéos\Séries\Patrick Melrose (2018)"
"Loups Garous","2","18","F:\Vidéos\Séries\Loups Garous (2024)"
"Stranger Things","1","8","F:\Vidéos\Séries\Stranger Things (2016)"
"Pluribus","1","5","F:\Vidéos\Séries\Pluribus (2025)"
"One-Punch Man","1","8","F:\Vidéos\Séries\One-Punch Man (2015)"
"Primal","2","20","F:\Vidéos\Séries\Primal (2019)"
"Les Sœurs Grimm","1","6","F:\Vidéos\Séries\Les Sœurs Grimm (2025)"
"ORELSAN : Montre jamais ça à personne","1","6","F:\Vidéos\Séries\ORELSAN Montre jamais ça à personne (2021)"
"Platonic","1","10","F:\Vidéos\Séries\Platonic (2023)"
"Les Bad Guys cassent la baraque","1","9","F:\Vidéos\Séries\Les Bad Guys cassent la baraque (2025)"
"Saint Seiya - The Lost Canvas","1","26","F:\Vidéos\Séries\Saint Seiya - The Lost Canvas (2009)"
"Saint Seiya - Chapitre Hadès","4","31","F:\Vidéos\Séries\Saint Seiya - Chapitre Hadès (2002)"
"Saint Seiya : Les Chevaliers du Zodiaque","1","73","G:\Animes\Saint Seiya Les Chevaliers du Zodiaque (1986)"
"Pluto","1","8","F:\Vidéos\Séries\Pluto (2023)"
"Scavengers Reign","1","12","F:\Vidéos\Séries\Scavengers Reign (2023)"
"Veneno","1","8","F:\Vidéos\Séries\Veneno (2020)"
"Rick et Morty","8","81","F:\Vidéos\Séries\Rick et Morty (2013)"
"Poker Face","1","12","F:\Vidéos\Séries\Poker Face (2023)"
"Polar Park","1","6","F:\Vidéos\Séries\Polar Park (2023)"
"The Leftovers","3","28","F:\Vidéos\Séries\The Leftovers (2014)"
"Votre fidèle serviteur Spider-Man","1","10","F:\Vidéos\Séries\Votre fidèle serviteur Spider-Man (2025)"
"Masters of the Air","1","9","F:\Vidéos\Séries\Masters of the Air (2024)"
"Dragon Ball DAIMA","1","17","F:\Vidéos\Séries\Dragon Ball DAIMA (2024)"
"Astérix & Obélix : Le Combat des chefs","1","5","F:\Vidéos\Séries\Astérix & Obélix Le Combat des chefs (2025)"
"Adolescence","1","4","F:\Vidéos\Séries\Adolescence"
"Made In Abyss","1","13","F:\Vidéos\Séries\Made In Abyss (2017)"
"Community","6","96","F:\Vidéos\Séries\Community (2009)"
"Pixar Short Films Collection","3","33","G:\Animes\Pixar Short Films Collection (1984)"
"Le Monde fou de Tex Avery","3","132","G:\Animes\Le Monde fou de Tex Avery (1997)"
"Hajime no Ippo : The Fighting","3","49","G:\Animes\Hajime no Ippo The Fighting (2000)"
"Dragon Ball Super","1","33","G:\Animes\Dragon Ball Super (2015)"
"Les 30 dernières minutes","1","16","G:\Séries\Les 30 dernières minutes (1998)"
"Bref","2","60","G:\Séries\Bref (2011)"
"Casting(s)","4","40","G:\Séries\Casting(s) (2013)"
"Dragon Ball","1","153","G:\Animes\Dragon Ball (1986)"
"Shaun le mouton","2","80","G:\Animes\Shaun le mouton (2007)"
"Ulysse 31","1","26","G:\Animes\Ulysse 31 (1981)"
"L'Attaque des Titans","1","1","G:\Animes\L'Attaque des Titans (2013)"
"Cowboy Bebop","1","26","G:\Animes\Cowboy Bebop (1998)"
"Death Parade","1","10","G:\Animes\Death Parade (2015)"
"Fate/stay night","1","24","G:\Animes\Fate stay night (2006)"
"Fate/Zero","2","24","G:\Animes\Fate Zero (2011)"
"Fullmetal Alchemist : Brotherhood","1","64","G:\Animes\Fullmetal Alchemist Brotherhood (2009)"
"Gankutsuou - Le comte de Monte-Cristo","1","24","G:\Animes\Gankutsuou - Le comte de Monte-Cristo (2004)"
"Ghost in the Shell : Stand Alone Complex","2","52","G:\Animes\Ghost in the Shell Stand Alone Complex (2002)"
"Ghost In The Shell: Arise - Alternative Architecture","1","10","G:\Animes\Ghost In The Shell Arise - Alternative Architecture (2015)"
"Lastman","1","26","G:\Animes\Lastman (2016)"
"Monster","1","74","G:\Animes\Monster (2004)"
"Les Mystérieuses Cités d'or","2","64","G:\Animes\Les Mystérieuses Cités d'or (1982)"
"Pokémon","1","42","G:\Animes\Pokémon (1997)"
"SAMURAI 7","1","26","G:\Animes\SAMURAI 7 (2004)"
"Samurai Champloo","1","26","G:\Animes\Samurai Champloo (2004)"
"Serial Experiments Lain","1","13","G:\Animes\Serial Experiments Lain (1998)"
"Le cœur a ses raisons","3","39","G:\Séries\Le cœur a ses raisons (2005)"
"The Deuce","2","11","G:\Séries\The Deuce (2017)"
"Kaamelott","1","100","G:\Séries\Kaamelott (2005)"
"The Morning Show","1","6","G:\Séries\The Morning Show (2019)"
"Les Soprano","4","60","G:\Séries\Les Soprano (1999)"
"Twin Peaks","1","15","G:\Séries\Twin Peaks (1990)"
"The Young Pope","1","10","G:\Séries\The Young Pope (2016)"
"Les Aventures de Tintin","3","21","G:\Séries\Les Aventures de Tintin (1991)"
"Blood Machines","1","3","G:\Séries\Blood Machines (2020)"
"Il était une fois… les Découvreurs","1","17","G:\Séries\Il était une fois… les Découvreurs (1994)"
"Larry et son nombril","2","20","G:\Séries\Larry et son nombril (2000)"
"La Quatrième dimension","2","25","G:\Séries\La Quatrième dimension (1959)"
